OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime
Crepidula marginalis,Crepidula marginalis,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,9,-80,P,151,19.5
Crucibulum spinosum,Crucibulum spinosum,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crucibulum,N,8,-80,P,NA,NA
Crucibulum radiatum,Crucibulum,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crucibulum,N,8,-80,P,169,22
Calyptraea extinctorum,Desmaulus extinctorium,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Desmaulus,N,22,114,P,208,NA
Obelia commissuralis,Obelia dichotoma,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Obelia,N,41,-70,P,130,NA
Obelia geniculata,Obelia geniculata,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Obelia,N,41,-70,P,130,NA
Siphonaira virgulata,Siphonaria virgulata,Siphonariidae,,Gastropoda,Mollusca,Siphonaria,S,-33,151,P,100,NA
Siphonaria denticulata,Siphonaria denticulata,Siphonariidae,,Gastropoda,Mollusca,Siphonaria,S,-33,151,P,100,NA
Pomatoleios kraussii,Spirobranchus kraussii,Serpulidae,Sabellida,Polychaeta,Annelida,Spirobranchus,N,29,48,P,63,NA
Antionella sarsi,Bylgides sarsi,Polynoidae,Phyllodocida,Polychaeta,Annelida,Bylgides,N,69.162558,-53,P,150,NA
Antionella sarsi,Bylgides sarsi,Polynoidae,Phyllodocida,Polychaeta,Annelida,Bylgides,N,69.162558,-53,P,150,NA
Pectinaria hyperborea,Cistenides hyperborea,Pectinariidae,Terebellida,Polychaeta,Annelida,Cistenides,N,69.162558,-53,P,60,NA
Polydora caulleryi,Dipolydora caulleryi,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,69.162558,-53,P,120,NA
Eteone flava,Eteone flava,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Eteone,N,69.162558,-53,P,120,NA
Gattyana cirrhosa,Gattyana cirrhosa,Polynoidae,Phyllodocida,Polychaeta,Annelida,Gattyana,N,69.162558,-53,P,105,NA
Ophelia limacina,Ophelia limacina,Opheliidae,,Polychaeta,Annelida,Ophelia,N,69.162558,-53,L,120,NA
Cerithium auricoma,Cerithium guinaicum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,25,-80,P,90,NA
Cerithium litteratum,Cerithium litteratum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,24,-81,P,100,NA
Strombus gallus,Lobatus gallus,Strombidae,Littorinimorpha,Gastropoda,Mollusca,Lobatus,N,25,-79,P,170,NA
Nereis diversicolor,Hediste diversicolor,Nereidae,Phyllodocida,Polychaeta,Annelida,Hediste,N,51,1,L,220,NA
